date,occupancy_rate,revenue,standard_total,standard_occupied,standard_occupancy_rate,confort_total,confort_occupied,confort_occupancy_rate,suite_total,suite_occupied,suite_occupancy_rate
2023-08-31,0.8666666666666667,1850.4666666666667,5,5,1.0,7,5,0.7142857142857143,3,3,1.0
2023-09-01,0.8,1929.8999999999999,5,3,0.6,7,7,1.0,3,2,0.6666666666666666
2023-09-02,0.7333333333333333,1751.85,5,2,0.4,7,7,1.0,3,2,0.6666666666666666
2023-09-03,0.7333333333333333,1739.1833333333334,5,3,0.6,7,5,0.7142857142857143,3,3,1.0
2023-09-04,0.7333333333333333,1549.4333333333334,5,4,0.8,7,4,0.5714285714285714,3,3,1.0
2023-09-05,0.8,1577.9809523809522,5,5,1.0,7,5,0.7142857142857143,3,2,0.6666666666666666
2023-09-06,0.8,1636.595238095238,5,5,1.0,7,6,0.8571428571428571,3,1,0.3333333333333333
2023-09-07,0.9333333333333333,2055.095238095238,5,5,1.0,7,7,1.0,3,2,0.6666666666666666
2023-09-08,0.8,1849.392857142857,5,5,1.0,7,5,0.7142857142857143,3,2,0.6666666666666666
2023-09-09,0.9333333333333333,2116.559523809524,5,5,1.0,7,7,1.0,3,2,0.6666666666666666
2023-09-10,0.9333333333333333,2289.5238095238096,5,4,0.8,7,7,1.0,3,3,1.0
2023-09-11,0.9333333333333333,2235.107142857143,5,5,1.0,7,6,0.8571428571428571,3,3,1.0
2023-09-12,0.9333333333333333,2244.226190476191,5,4,0.8,7,7,1.0,3,3,1.0
2023-09-13,0.8,1809.8452380952383,5,5,1.0,7,5,0.7142857142857143,3,2,0.6666666666666666
2023-09-14,0.8666666666666667,1810.9880952380954,5,4,0.8,7,6,0.8571428571428571,3,3,1.0
2023-09-15,0.8666666666666667,1828.5238095238096,5,4,0.8,7,6,0.8571428571428571,3,3,1.0
2023-09-16,0.8666666666666667,1769.357142857143,5,3,0.6,7,7,1.0,3,3,1.0
2023-09-17,0.8666666666666667,1666.8428571428572,5,4,0.8,7,6,0.8571428571428571,3,3,1.0
2023-09-18,0.9333333333333333,1754.4261904761904,5,4,0.8,7,7,1.0,3,3,1.0
2023-09-19,0.9333333333333333,1719.4261904761904,5,5,1.0,7,6,0.8571428571428571,3,3,1.0
2023-09-20,1.0,1816.759523809524,5,5,1.0,7,7,1.0,3,3,1.0
2023-09-21,0.7333333333333333,1254.0333333333333,5,5,1.0,7,4,0.5714285714285714,3,2,0.6666666666666666
2023-09-22,0.7333333333333333,1323.3333333333333,5,4,0.8,7,5,0.7142857142857143,3,2,0.6666666666666666
2023-09-23,1.0,1849.1666666666667,5,5,1.0,7,7,1.0,3,3,1.0
2023-09-24,0.8666666666666667,1548.0,5,4,0.8,7,7,1.0,3,2,0.6666666666666666
2023-09-25,1.0,1853.2166666666667,5,5,1.0,7,7,1.0,3,3,1.0
2023-09-26,0.9333333333333333,1756.9666666666667,5,5,1.0,7,6,0.8571428571428571,3,3,1.0
2023-09-27,0.9333333333333333,1749.2333333333331,5,4,0.8,7,7,1.0,3,3,1.0
2023-09-28,0.8666666666666667,1544.9666666666667,5,4,0.8,7,7,1.0,3,2,0.6666666666666666
2023-09-29,0.8666666666666667,1490.3,5,5,1.0,7,6,0.8571428571428571,3,2,0.6666666666666666
