reservation_id,request_id,check_in_date,check_out_date,guests,preferred_room_type,room_id,room_type,price_per_night,total_price,status,creation_date
404563d3,435f6891,2023-08-18,2023-08-21,3,,6,confort,172.0,516.0,confirmed,2025-03-09T16:03:48.082754
29ab3ef8,171be160,2023-08-27,2023-08-29,2,standard,1,standard,115.0,230.0,confirmed,2025-03-09T16:03:48.083215
eafe8464,7cf20bb1,2023-08-05,2023-08-06,2,,1,standard,115.0,115.0,confirmed,2025-03-09T16:03:48.083480
5de9ac79,8a579377,2023-08-27,2023-08-28,3,suite,13,suite,172.0,172.0,confirmed,2025-03-09T16:03:48.083737
6573d5c5,c67e9fc7,2023-08-11,2023-08-16,3,,6,confort,172.0,860.0,confirmed,2025-03-09T16:03:48.084063
04efe88c,f8ef2b5b,2023-08-24,2023-08-25,3,,6,confort,172.0,172.0,confirmed,2025-03-09T16:03:48.084497
4f2b9701,5e4576e1,2023-08-29,2023-08-31,2,confort,6,confort,115.0,230.0,confirmed,2025-03-09T16:03:48.084881
69487d1a,a9251133,2023-08-13,2023-08-15,3,,7,confort,172.0,344.0,confirmed,2025-03-09T16:03:48.085920
e18fe3aa,421966a5,2023-08-04,2023-08-07,2,,2,standard,115.0,345.0,confirmed,2025-03-09T16:03:48.086239
414a24e9,cf131ef9,2023-08-07,2023-08-10,2,standard,1,standard,115.0,345.0,confirmed,2025-03-09T16:03:48.087307
685901fe,16bbaca6,2023-08-11,2023-08-18,4,suite,13,suite,258.0,1806.0,confirmed,2025-03-09T16:03:48.087935
34ee3fd8,ef77433f,2023-09-01,2023-09-03,3,,6,confort,172.0,344.0,confirmed,2025-03-09T16:03:48.088588
fc5e691c,3ea16edd,2023-08-03,2023-08-06,3,confort,6,confort,172.0,516.0,confirmed,2025-03-09T16:03:48.088946
abdd4dc0,8f706215,2023-08-28,2023-08-30,2,,2,standard,115.0,230.0,confirmed,2025-03-09T16:03:48.089239
72c1b08b,bc3e4dfe,2023-08-07,2023-08-09,3,confort,6,confort,172.0,344.0,confirmed,2025-03-09T16:03:48.089591
ecb63b54,2a4c6a53,2023-08-07,2023-08-09,2,standard,2,standard,115.0,230.0,confirmed,2025-03-09T16:03:48.090502
8fe6802a,0919fbbc,2023-08-04,2023-08-05,3,suite,13,suite,258.0,258.0,confirmed,2025-03-09T16:03:48.090737
dcd9d004,670edb32,2023-08-06,2023-08-09,2,standard,3,standard,115.0,345.0,confirmed,2025-03-09T16:03:48.091019
6ebc042a,39f53220,2023-09-01,2023-09-04,3,,7,confort,172.0,516.0,confirmed,2025-03-09T16:03:48.091335
e8fb90bc,b8de139c,2023-08-10,2023-08-11,3,confort,6,confort,172.0,172.0,confirmed,2025-03-09T16:03:48.091593
be1ea40a,dbd6e20b,2023-08-16,2023-08-17,2,,1,standard,115.0,115.0,confirmed,2025-03-09T16:03:48.092459
9290266c,be08c18c,2023-08-26,2023-08-29,2,standard,3,standard,115.0,345.0,confirmed,2025-03-09T16:03:48.092878
978b6027,9820c067,2023-08-05,2023-08-09,2,standard,4,standard,115.0,460.0,confirmed,2025-03-09T16:03:48.093821
3895ec12,63331b1e,2023-08-07,2023-08-11,2,confort,7,confort,103.5,414.0,confirmed,2025-03-09T16:03:48.095631
7c71cafd,f94f56ab,2023-08-13,2023-08-15,3,confort,8,confort,172.0,344.0,confirmed,2025-03-09T16:03:48.095962
c3c92cf5,b79101b5,2023-08-22,2023-08-26,3,,7,confort,172.0,688.0,confirmed,2025-03-09T16:03:48.097508
05dcf646,ea09dad0,2023-08-24,2023-08-26,2,confort,8,confort,115.0,230.0,confirmed,2025-03-09T16:03:48.098284
4f51c55a,b6e29a76,2023-08-05,2023-08-07,2,,5,standard,115.0,230.0,confirmed,2025-03-09T16:03:48.099466
94b156ec,f2235a89,2023-08-19,2023-08-22,2,standard,1,standard,115.0,345.0,confirmed,2025-03-09T16:03:48.099899
d7000a30,1d6c4296,2023-09-02,2023-09-05,3,suite,13,suite,258.0,774.0,confirmed,2025-03-09T16:03:48.100917
9e3d87c6,c740d88b,2023-08-11,2023-08-15,2,,1,standard,115.0,460.0,confirmed,2025-03-09T16:03:48.101296
8c90ba6e,794e64c8,2023-08-13,2023-08-15,4,suite,14,suite,206.0,412.0,confirmed,2025-03-09T16:03:48.101511
a7066392,f4b4847a,2023-08-13,2023-08-14,2,confort,9,confort,138.0,138.0,confirmed,2025-03-09T16:03:48.101712
904ba7b8,fba41cf9,2023-08-14,2023-08-16,3,suite,15,suite,155.0,310.0,confirmed,2025-03-09T16:03:48.101973
51cd921e,845763bb,2023-08-09,2023-08-12,2,,2,standard,115.0,345.0,confirmed,2025-03-09T16:03:48.102280
e2d10562,8fbf4acc,2023-08-22,2023-08-28,3,,9,confort,172.0,1032.0,confirmed,2025-03-09T16:03:48.102591
8e8d55d2,71b2c108,2023-08-27,2023-08-29,2,,4,standard,115.0,230.0,confirmed,2025-03-09T16:03:48.102777
b8105e21,2ac959c3,2023-08-28,2023-09-03,3,,8,confort,172.0,1032.0,confirmed,2025-03-09T16:03:48.103609
2e36cbc0,d76d67a1,2023-08-26,2023-08-30,3,confort,7,confort,155.0,620.0,confirmed,2025-03-09T16:03:48.105266
c34fa973,499dc6e4,2023-09-04,2023-09-11,3,confort,6,confort,172.0,1204.0,confirmed,2025-03-09T16:03:48.105622
811042eb,dc7fe9c8,2023-08-31,2023-09-01,2,standard,1,standard,115.0,115.0,confirmed,2025-03-09T16:03:48.106231
539b669b,282b9f27,2023-08-22,2023-08-24,2,confort,6,confort,172.0,344.0,confirmed,2025-03-09T16:03:48.106453
5f4b4738,8a72348f,2023-09-04,2023-09-06,2,suite,14,suite,115.0,230.0,confirmed,2025-03-09T16:03:48.106734
e75d330f,7e9ee9ec,2023-08-23,2023-08-30,3,,10,confort,162.28571428571428,1136.0,confirmed,2025-03-09T16:03:48.107352
ac6d13eb,48016426,2023-08-26,2023-08-31,4,suite,14,suite,226.8,1134.0,confirmed,2025-03-09T16:03:48.107618
bad001f9,594b37f4,2023-08-12,2023-08-16,3,confort,10,confort,155.0,620.0,confirmed,2025-03-09T16:03:48.107859
ccecdc92,d68acef3,2023-08-31,2023-09-04,3,confort,9,confort,172.0,688.0,confirmed,2025-03-09T16:03:48.108127
ef5125a1,45be7e42,2023-08-09,2023-08-11,2,,3,standard,115.0,230.0,confirmed,2025-03-09T16:03:48.109104
96295b0c,6e6d865d,2023-08-30,2023-08-31,4,suite,13,suite,258.0,258.0,confirmed,2025-03-09T16:03:48.109394
d113969a,85ef6560,2023-08-10,2023-08-13,3,suite,14,suite,172.0,516.0,confirmed,2025-03-09T16:03:48.110170
