date,occupancy_rate,revenue,standard_total,standard_occupied,standard_occupancy_rate,confort_total,confort_occupied,confort_occupancy_rate,suite_total,suite_occupied,suite_occupancy_rate
2023-08-01,0.0,0,5,0,0.0,7,0,0.0,3,0,0.0
2023-08-02,0.0,0,5,0,0.0,7,0,0.0,3,0,0.0
2023-08-03,0.06666666666666667,172.0,5,0,0.0,7,1,0.14285714285714285,3,0,0.0
2023-08-04,0.2,545.0,5,1,0.2,7,1,0.14285714285714285,3,1,0.3333333333333333
2023-08-05,0.3333333333333333,632.0,5,4,0.8,7,1,0.14285714285714285,3,0,0.0
2023-08-06,0.26666666666666666,460.0,5,4,0.8,7,0,0.0,3,0,0.0
2023-08-07,0.4,735.5,5,4,0.8,7,2,0.2857142857142857,3,0,0.0
2023-08-08,0.4,735.5,5,4,0.8,7,2,0.2857142857142857,3,0,0.0
2023-08-09,0.4,809.0333333333333,5,3,0.6,7,2,0.2857142857142857,3,1,0.3333333333333333
2023-08-10,0.5333333333333333,1180.2833333333333,5,2,0.4,7,4,0.5714285714285714,3,2,0.6666666666666666
2023-08-11,0.5333333333333333,1334.7833333333335,5,2,0.4,7,3,0.42857142857142855,3,3,1.0
2023-08-12,0.5333333333333333,1374.7833333333335,5,1,0.2,7,4,0.5714285714285714,3,3,1.0
2023-08-13,0.7333333333333333,1890.7833333333333,5,1,0.2,7,7,1.0,3,3,1.0
2023-08-14,0.8,1921.1666666666667,5,2,0.4,7,7,1.0,3,3,1.0
2023-08-15,0.6,1394.1666666666667,5,1,0.2,7,6,0.8571428571428571,3,2,0.6666666666666666
2023-08-16,0.5333333333333333,1314.5,5,2,0.4,7,4,0.5714285714285714,3,2,0.6666666666666666
2023-08-17,0.5333333333333333,1303.1666666666667,5,2,0.4,7,4,0.5714285714285714,3,2,0.6666666666666666
2023-08-18,0.6,1267.4833333333333,5,4,0.8,7,4,0.5714285714285714,3,1,0.3333333333333333
2023-08-19,0.6666666666666666,1353.4833333333333,5,4,0.8,7,5,0.7142857142857143,3,1,0.3333333333333333
2023-08-20,0.7333333333333333,1642.3166666666668,5,4,0.8,7,5,0.7142857142857143,3,2,0.6666666666666666
2023-08-21,0.8,1843.6166666666668,5,4,0.8,7,5,0.7142857142857143,3,3,1.0
2023-08-22,0.8,1841.7,5,4,0.8,7,6,0.8571428571428571,3,2,0.6666666666666666
2023-08-23,0.7333333333333333,1574.7523809523807,5,4,0.8,7,6,0.8571428571428571,3,1,0.3333333333333333
2023-08-24,0.8666666666666667,1792.752380952381,5,5,1.0,7,7,1.0,3,1,0.3333333333333333
2023-08-25,0.8,1653.2523809523807,5,4,0.8,7,7,1.0,3,1,0.3333333333333333
2023-08-26,0.8,1881.2523809523807,5,3,0.6,7,6,0.8571428571428571,3,3,1.0
2023-08-27,0.8,1855.7523809523807,5,4,0.8,7,5,0.7142857142857143,3,3,1.0
2023-08-28,0.9333333333333333,2034.0523809523806,5,5,1.0,7,6,0.8571428571428571,3,3,1.0
2023-08-29,0.7333333333333333,1624.0523809523809,5,2,0.4,7,7,1.0,3,2,0.6666666666666666
2023-08-30,0.7333333333333333,1644.7666666666667,5,2,0.4,7,6,0.8571428571428571,3,3,1.0
